.000	.000	.000
.000	.039	.000
.039	.000	.138
.217	.217	.454
.533	.592	1.027
.711	.652	1.541
.711	.691	1.501
.711	.711	1.304
.810	.908	1.422
.869	.889	1.699
.849	.790	1.699
.829	.968	1.718
.908	.810	1.699
.928	.750	1.798
.731	.691	1.758
.553	.750	1.620
.652	.711	1.047
.434	.335	-.237
-.098	-.039	.217
