0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.110606	0.120618	0.010012	-2.212121	2.412367	-0.200246
0.423990	0.462370	0.038381	-4.055555	4.422673	-0.367118
0.903283	0.985050	0.081767	-5.530302	6.030918	-0.500616
1.511616	1.648451	0.136835	-6.636363	7.237101	-0.600739
2.212121	2.412367	0.200246	-7.373736	8.041224	-0.667487
2.967929	3.236592	0.268664	-7.742423	8.443285	-0.700862
3.742171	4.080921	0.338750	-7.742423	8.443285	-0.700862
4.497979	4.905146	0.407167	-7.373736	8.041224	-0.667487
5.198484	5.669063	0.470579	-6.636363	7.237101	-0.600739
5.806817	6.332464	0.525646	-5.530302	6.030918	-0.500616
6.286110	6.855143	0.569033	-4.055555	4.422673	-0.367118
6.599494	7.196895	0.597401	-2.212121	2.412367	-0.200246
6.710100	7.317513	0.607413	0.000000	-0.000000	-0.000000
